StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
8475,12114,16160,753,Gl 105  A,          ,268 G. Cet,2.60106457,6.88336423,7.208765859,5.79,6.500695401,K3V         ,0.918
52958,73184,131977,5568,Gl 570  A,          ,33 G. Lib,14.95759766,-21.4112809,5.905976849,5.72,6.863541299,K4V         ,1.024
10892,15510,20794,1008,Gl 139   ,          ,82 G. Eri,3.33145134,-43.07154929,6.059871531,4.26,5.347682914,G8V         ,0.711
2628,3765,4628,222,Gl  33   ,          ,96 G. Psc,0.80625919,5.28338873,7.460459564,5.74,6.376172096,K2V         ,0.89
5297,7588,10144,472,,   Alp Eri,Achernar,1.62854213,-57.23666007,44.09171076,0.45,-2.771784749,B3Vp        ,-0.158
44632,60718,108248,4730,,   Alp1Cru,Acrux,12.44331705,-63.09905586,98.32841691,0.77,-4.193395235,B0.5IV      ,-0.243
24404,33579,52089,2618,, 21Eps CMa,Adhara,6.9770963,-28.97208931,132.1003963,1.5,-4.104520602,B2II        ,-0.211
12393,17702,23630,1165,, 25Eta Tau,Alcyone,3.79140671,24.10524193,112.7395716,2.85,-2.410381901,B7III       ,-0.086
15108,21421,29139,1457,Gl 171.1A, 87Alp Tau,Aldebaran,4.59866679,16.50976164,19.96406468,0.87,-0.631244842,K5III       ,1.538
76423,105199,203280,8162,Gl 826   ,  5Alp Cep,Alderamin,21.30960598,62.58545529,14.96110114,2.45,1.575182206,A7IV-V      ,0.257
782,1067,886,39,, 88Gam Peg,Algenib,0.22059721,15.18361593,102.145046,2.83,-2.216086541,B2IV        ,-0.19
37506,50583,89484,4057,, 41Gam1Leo,Algieba,10.3328227,19.84186032,38.52080123,2.01,-0.918476559,K0III       ,1.128
10217,14576,19356,936,, 26Bet Per,Algol,3.13614714,40.9556512,28.45759818,2.09,-0.180991214,B8V         ,-0.003
22916,31681,47105,2421,, 24Gam Gem,Alhena,6.62852842,16.39941482,32.13367609,1.93,-0.604802058,A0IV        ,0.001
46117,62956,112185,4905,, 77Eps UMa,Alioth,12.9004536,55.95984301,24.81389578,1.76,-0.213474769,A0p         ,-0.022
49038,67301,120315,5191,, 85Eta UMa,Alkaid,13.79237392,49.31330288,30.87372646,1.85,-0.59794526,B3V SB      ,-0.099
79434,109268,209952,8425,Gl 848.2 ,   Alp Gru,Alnair,22.13718789,-46.96061593,31.09452736,1.73,-0.7334198,B7IV        ,-0.07
18021,25428,35497,1791,,112Bet Tau,Alnath,5.43819386,28.60787346,40.17677782,1.65,-1.369875517,B7III       ,-0.13
18686,26311,37128,1903,, 46Eps Ori,Alnilam,5.60355904,-1.20191725,411.5226337,1.69,-6.381968632,B0Ia        ,-0.184
19013,26727,37742,1948,, 50Zet Ori,Alnitak,5.67931244,-1.94257841,250.6265664,1.74,-5.255135522,O9.5Ib SB   ,-0.199
34371,46390,81797,3748,, 30Alp Hya,Alphard,9.45979217,-8.65868335,54.34782609,1.99,-1.685910885,K3III       ,1.44
55027,76267,139006,5793,,  5Alp CrB,Alphekka,15.57810819,26.71491041,22.90950745,2.22,0.41992124,A0V         ,0.032
495,677,358,15,, 21Alp And,Alpheratz,0.13976888,29.09082805,29.76190476,2.07,-0.298303613,B9p         ,-0.038
70683,97649,187642,7557,Gl 768   , 53Alp Aql,Altair,19.84630057,8.86738491,5.142974697,0.76,2.203928062,A7IV-V      ,0.221
1489,2081,2261,99,,   Alp Phe,Ankaa,0.43801871,-42.30512197,23.7304224,2.4,0.523472656,K0III...    ,1.083
58094,80763,148478,6134,, 21Alp Sco,Antares,16.49012986,-26.43194608,185.1851852,1.06,-5.278031201,M1Ib + B2.5V,1.865
50628,69673,124897,5340,Gl 541   , 16Alp Boo,Arcturus,14.2612076,19.18726997,11.25492403,-0.05,-0.306712839,K2IIIp      ,1.239
18430,25985,36673,1865,, 11Alp Lep,Arneb,5.54550386,-17.82229227,393.7007874,2.58,-5.395831417,F0Ib        ,0.211
63339,87937, ,,Gl 699   ,,Barnard's Star,17.96360153,4.66828815,1.821460447,9.54,13.23790128,sdM4        ,1.57
17947,25336,35468,1790,, 24Gam Ori,Bellatrix,5.41885227,6.34973451,74.51564829,1.64,-2.721237421,B2III       ,-0.224
19984,27989,39801,2061,, 58Alp Ori,Betelgeuse,5.91952477,7.40703634,131.061599,0.45,-5.13737731,M2Ib        ,1.5
