StarID,Hip,HD,HR,Gliese,BayerFlamsteed,ProperName,RA,Dec,Distance,Mag,AbsMag,Spectrum,ColorIndex
37949,51172,90610,4104,,   Alp Ant, ,10.4525433,-31.06780228,112.3595506,4.28,-0.973049967,K4III       ,1.429
52390,72370,129078,5470,,   Alp Aps, ,14.79770171,-79.04471242,126.1034048,3.83,-1.673634063,K5III       ,1.433
61747,85792,158427,6510,,   Alp Ara, ,17.53070044,-49.87598159,74.29420505,2.84,-1.514774701,B2Vne       ,-0.136
15356,21770,29875,1502,Gl 174.1A,   Alp Cae, ,4.67606197,-41.86357034,20.13287699,4.44,2.9204708,F2V         ,0.342
21936,30438,45348,2326,,   Alp Car,Canopus,6.39919184,-52.69571799,95.87727709,-0.62,-5.528578458,F0Ib        ,0.164
29930,40702,71243,3318,Gl 305   ,   Alp Cha, ,8.30868523,-76.91998251,19.45525292,4.05,2.604815595,F5III       ,0.413
52082,71908,128898,5463,Gl 560  A,   Alp Cir, ,14.70852362,-64.97456957,16.40150894,3.18,2.105580975,F1Vp        ,0.256
18937,26634,37795,1956,,   Alp Col, ,5.66081665,-34.07404941,82.23684211,2.65,-1.925332125,B7IV        ,-0.12
67998,94114,178253,7254,,   Alp CrA, ,19.15785508,-37.90423953,39.76143141,4.11,1.112689947,A0/A1V      ,0.042
15002,21281,29305,1465,,   Alp Dor, ,4.56658845,-55.04500559,53.87931034,3.3,-0.357110141,A0V:        ,-0.079
5297,7588,10144,472,,   Alp Eri,Achernar,1.62854213,-57.23666007,44.09171076,0.45,-2.771784749,B3Vp        ,-0.158
10440,14879,20010,963,Gl 127  A,   Alp For, ,3.20118888,-28.98910623,14.11233418,3.8,3.05200574,F8V         ,0.543
79434,109268,209952,8425,Gl 848.2 ,   Alp Gru,Alnair,22.13718789,-46.96061593,31.09452736,1.73,-0.7334198,B7IV        ,-0.07
13838,19747,26967,1326,,   Alp Hor, ,4.23335592,-42.29387294,35.90664273,3.85,1.074125998,K1III       ,1.085
6432,9236,12311,591,Gl  83   ,   Alp Hyi, ,1.97940884,-61.56992444,21.86270223,2.86,1.161480801,F0V         ,0.29
73831,101772,196171,7869,Gl 794.1 ,   Alp Ind, ,20.62610824,-47.29166239,31.04625893,3.11,0.649953624,K0III       ,0.998
52045,71860,129056,5469,,   Alp Lup, ,14.69882606,-47.38814127,168.0672269,2.3,-3.827415171,B1.5III     ,-0.154
20973,29271,43834,2261,Gl 231   ,   Alp Men, ,6.17061203,-74.7525279,10.14816318,5.08,5.04806279,G5V         ,0.714
74641,102831,198232,7965,,   Alp Mic, ,20.83279986,-33.7796732,116.6861144,4.89,-0.44509589,G8III       ,1.004
45220,61585,109668,4798,,   Alp Mus, ,12.61974547,-69.13553358,93.72071228,2.69,-2.169177903,B2IV-V      ,-0.176
75534,104043,199532,8021,,   Alp Oct, ,21.07861906,-77.02286938,45.31037608,5.13,1.849011666,F4III       ,0.49
73075,100751,193924,7790,,   Alp Pav, ,20.42745823,-56.73488071,56.17977528,1.94,-1.807899988,B2IV        ,-0.118
1489,2081,2261,99,,   Alp Phe,Ankaa,0.43801871,-42.30512197,23.7304224,2.4,0.523472656,K0III...    ,1.083
23650,32607,50241,2550,Gl 248   ,   Alp Pic, ,6.80320475,-61.94197988,30.33980583,3.24,0.829936015,A7IV        ,0.225
